"RecordNumber"	"StationName"	"Date"	"Survey"	"Replicate"	"Tide"	"Tide Height"	"SalinityZone"	"Temp(C)StartTop"	"Conductivity(uS/cm)StartTop"	"Salinity(ppt)StartTop"	"DOSat(Percent)StartTop"	"DOSat(mg/L)StartTop"	"Chl(ug/L)StartTop"	"Chl(RFU)StartTop"	"Temp(C)StartBottom"	"Conductivity(uS/cm)StartBottom"	"Salinity(ppt)StartBottom"	"DOSat(Percent)StartBottom"	"DOSat(mg/L)StartBottom"	"Chl(ug/L)StartBottom"	"Chl(RFU)StartBottom"	"Temp(C)EndTop"	"Conductivity(uS/cm)EndTop"	"Salinity(ppt)EndTop"	"DOSat(Percent)EndTop"	"DOSat(mg/L)EndTop"	"Chl(ug/L)EndTop"	"Chl(RFU)EndTop"	"Temp(C)EndBottom"	"Conductivity(uS/cm)EndBottom"	"Salinity(ppt)EndBottom"	"DOSat(Percent)EndBottom"	"DOSat(mg/L)EndBottom"	"Chl(ug/L)EndBottom"	"Chl(RFU)EndBottom"	"StartSecchi(cm)"	"EndSecchi(cm)"	"StartNTU"	"EndNTU"	"StartpH"	"EndpH"	"Comments"	"WQStartFile"	"WQEndFile"
1357	"NB-201"	4/12/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"	17.90	2113.00	5.85														2.62							2.72					48.00	37.00	63.00	48.10	6.89	6.98	"WQ file missing. Temp and EC from state's station 346 same week."	"9:25"	"9:41"
1358	"NB-190"	4/12/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"	17.90	2113.00	1.40														0.97												48.00	39.00	38.60	33.20	7.15	7.15	"WQ file missing. Temp and EC from state's station 346 same week."	"9:54"	"10:10"
1359	"NB-170"	4/12/2016 0:00:00	"4"	"1"	"Ebbing"		"0: <1"	17.90	2113.00	0.62														0.52												62.00	51.00	78.20	32.80	6.98	7.11	"WQ File Missing. Temp and EC from state's station 346 same week."	"10:18"	"10:34"
1360	"NB-150"	4/12/2016 0:00:00	"4"	"1"	"Ebbing"		"0: <1"			0.28														0.25												76.00	118.00	15.60	11.10	7.02	7.05	"WQ file missing"	"10:46"	"11:00"
1361	"NB-130"	4/12/2016 0:00:00	"4"	"1"	"Ebbing"		"0: <1"			0.23														0.22												165.00	165.00	13.60	9.33	7.04	7.03	"WQ file missing.  Just on the surface"	"11:10"	"11:25"
1362	"NB-341Pond"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"3: 7-9.99"			8.67														8.59												41.00	42.00	51.40	47.60	7.25	7.21	"WQ file missing"	"7:16"	"7:23"
1363	"NB-363"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"	16.40	13350.00	11.48														9.66												55.00	45.00	30.60	56.00	7.11	7.17	"WQ file missing. Temp and EC from state's station 343 same week."	"7:41"	"7:56"
1364	"NB-1119"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			12.14														11.95												31.00	30.00	60.50		7.22		"WQ file missing"	"8:36"	"8:52"
1365	"NB-1085"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			14.16														14.49												41.00	38.00	57.70	43.20	7.07	7.17	"WQ file missing"	"9:10"	"9:24"
1366	"NB-1083"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			14.03														14.30												56.00	43.00	36.70	81.00	7.18	7.15	"WQ file missing"	"9:38"	"9:54"
1367	"NB-1081"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			15.11														15.52												40.00	48.00	43.60	35.70	7.14	7.16	"WQ file missing"	"10:04"	"10:23"
1368	"NB-1094"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			15.61														15.26												51.00	52.00	23.50	30.20	7.16	7.16	"WQ file missing"	"10:36"	"10:46"
1369	"NB-1093"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			15.11														14.59												62.00	42.00	28.00	37.20	7.11	6.96	"WQ file missing"	"11:01"	"11:12"
1370	"NB-1117"	4/13/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"	15.20	16880.00	14.35														12.90												22.00	21.00	140.00	135.00	7.08	7.00	"WQ file missing. Temp and EC from nearby CDFW station during same week."	"11:49"	"12:05"
1371	"NB-1119"	4/13/2016 0:00:00	"4"	"2"	"Ebbing"		"4: >10"			11.88														11.04												25.00	26.00	105.00	60.10	7.09	7.03	"Rep -2: next to sea wall (deep water channel side), WQ file missing"	"12:22"	"12:37"
1372	"NB-710"	4/14/2016 0:00:00	"4"	"1"	"Flooding"		"1: 1-3.99"			1.53														1.82												25.00	34.00	46.70	63.90	7.20	7.28	"Trash bag caught in net.  Long dead PACHER in cod.  Sonde #1 (pH not calibrated, using pocket pro #2), Hach #1, YSI 2030# 2. WQ file missing"	"7:14"	"7:27"
1373	"NB-740"	4/14/2016 0:00:00	"4"	"1"	"High"		"1: 1-3.99"			1.96														2.45												30.00	36.00	47.60	42.90	7.19	7.23	"WQ file missing. Use Channel 16 on UHF to raise Petaluma Haystack Bridge.  Bridge tender - Kathy.  Bridge is in full operation.  (707) 890-8650 Bridge Control"	"8:00"	"8:14"
1374	"NB-792"	4/14/2016 0:00:00	"4"	"1"	"High"		"2: 4-6.99"			3.60														4.55												33.00	38.00	44.60	39.30	7.01	7.00	"WQ file missing. Sped up to raise up over burm by mouth of ox bow for approx 20 seconds"	"8:28"	"8:42"
1375	"NB-800"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"2: 4-6.99"			5.25														4.70												32.00	37.00	39.80	42.10	6.94	7.02	"WQ file missing"	"8:51"	"9:05"
1376	"NB-920"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			11.81														11.29												40.00	44.00	39.00	31.10	7.15	7.17	"WQ file missing"	"9:29"	"9:43"
1377	"NB-900"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"4: >10"			10.62														10.45												43.00	40.00	45.70	54.80	7.03	7.08	"WQ file missing"	"9:51"	"10:06"
1378	"NB-880"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"3: 7-9.99"			9.14														8.65												30.00	43.00	59.30	70.10	6.97	6.94	"WQ file missing"	"10:17"	"10:32"
1379	"NB-860"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"3: 7-9.99"			7.53														6.74												27.00	27.00	76.00	58.50	6.94	6.99	"WQ file missing"	"10:42"	"10:56"
1380	"NB-840"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"2: 4-6.99"			6.05														5.50												42.00	43.00	71.00	71.50	6.94	6.95	"WQ file missing"	"11:05"	"11:19"
1381	"NB-820"	4/14/2016 0:00:00	"4"	"1"	"Ebbing"		"2: 4-6.99"			4.42														4.00												37.00	44.00	60.40	59.70	7.12	7.02	"WQ file missing"	"11:28"	"11:42"
1382	"NB-670"	4/15/2016 0:00:00	"4"	"1"	"Flooding"		"4: >10"			12.09														12.32												29.00	30.00	77.60	72.90	7.29	7.22	"WQ file missing"	"7:52"	"8:08"
1383	"NB-630"	4/15/2016 0:00:00	"4"	"1"	"Flooding"		"3: 7-9.99"			7.19														5.19												30.00	21.00	84.50	73.50	7.13	7.04	"WQ file missing"	"8:28"	"8:45"
1384	"NB-610"	4/15/2016 0:00:00	"4"	"1"	"Flooding"		"2: 4-6.99"			4.14														3.21												27.00	30.00	85.90	95.10	6.94	6.89	"WQ file missing"	"8:52"	"9:12"
1385	"NB-590"	4/15/2016 0:00:00	"4"	"1"	"High"		"1: 1-3.99"			3.21														3.45												31.00	21.00	86.10	69.00			"Pocket pro pH probe broken. WQ file missing"	"9:23"	"9:39"
1386	"NB-530"	4/15/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"			1.79														1.77												18.00	27.00	86.70	86.50			"pH Meter broken. WQ file missing"	"9:59"	"10:13"
1387	"NB-542"	4/15/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"			1.79														2.01												27.00	21.00	103.00	79.60			"WQ file missing"	"10:29"	"10:40"
1388	"NB-550"	4/15/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"			2.10														2.76												21.00	26.00	91.30	88.70			"WQ file missing. Forgot to put ""_20mm"" on track ID.  Tide and time assumed as not on data sheet."	"10:53"	"11:10"
1389	"NB-1119"	4/26/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	13.14	26267.00	16.10	93.50	8.89	10.40	2.50	13.16	26278.00	16.11	94.80	9.01	10.20	2.40	13.39	26974.00	16.57	102.40	9.65	7.30	1.70	13.46	27208.00	16.73	96.40	9.06	7.20	1.70	18.00	24.00	162.00	110.00	7.86	7.89	"Hack #1, Sonde #1.  File name saved as 4/25 instead of 4/26.  Second file made for 4/26."	"7:30"	"7:47"
1390	"NB-1116"	4/26/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	14.70	27783.00	17.13	98.10	8.96	4.80	1.10	14.71	27904.00	17.21	95.40	8.71	5.30	1.30	14.05	28741.00	17.77	98.70	9.11	5.10	1.20	14.05	28763.00	17.79	95.30	8.79	6.00	1.40	32.00	28.00	89.90	95.60		7.86		"8:05"	"8:21"
1391	"NB-1113"	4/26/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	14.53	27548.00	16.97	102.40	9.40	5.80	1.40	14.52	27526.00	16.96	102.40	9.40	5.80	1.40	14.52	28285.00	17.47	102.40	9.37	3.40	0.80	14.51	28297.00	17.48	97.80	8.95	3.70	0.90	39.00	35.00	64.30	65.40	7.82	7.85		"8:39"	"8:54"
1392	"NB-1111"	4/26/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	14.12	31134.00	19.40	101.20	9.23	5.00	1.20	14.11	31184.00	19.43	97.80	8.92	4.40	1.00	14.13	31427.00	19.60	99.40	9.05	4.40	1.10								33.00	36.00	71.40	73.70	7.83	7.83		"9:06"	"9:24"
1393	"NB-1093"	4/26/2016 0:00:00	"5"	"1"	"Low"		"4: >10"	13.89	27945.00	17.23	100.30	9.31	11.90	2.80	14.21	26755.00	16.44	94.30	8.75	12.40	2.90															18.00	15.00	156.00	524.00	7.78	7.74	"Fairly muddy"	"9:42"	"9:56"
1394	"NB-1126"	4/26/2016 0:00:00	"5"	"1"	"Low"		"4: >10"	14.26	31791.00	19.85	98.70	8.95	3.30	0.80	14.56	31293.00	19.51	98.80	8.92	2.00	0.50															45.00	36.00	32.70	28.00	7.54	7.84		"10:13"	"10:28"
1395	"NB-1161"	4/26/2016 0:00:00	"5"	"1"	"Low"	"-0.0"	"4: >10"	14.67	29497.00	18.29	98.30	8.92	3.60	0.80	15.10	28608.00	17.69	100.00	9.03	3.80	0.90	14.64	28792.00	17.81	94.30	8.59	3.90	0.90								52.00	51.00	18.90	21.90	7.84	7.86		"10:37"	"10:46"
1396	"NB-1182"	4/26/2016 0:00:00	"5"	"1"	"Flooding"	"+.1"	"4: >10"	15.39	25669.00	15.72	105.70	9.60	1.70	0.40	14.89	25796.00	15.80	106.40	9.76	1.70	0.40	15.57	25557.00	15.64	98.20	8.89	2.40	0.60								51.00	52.00	39.60	29.00	7.95	7.84		"11:07"	"11:25"
1397	"NB-1184"	4/26/2016 0:00:00	"5"	"1"	"Flooding"	"+0.3"	"4: >10"	15.57	24611.00	15.01	104.60	9.51	0.30	0.10	15.13	24665.00	15.05	105.20	9.65	0.30	0.10	15.58	25725.00	15.75	99.10	8.97	2.60	0.60	15.18	26312.00	16.15	96.80	8.81	3.30	0.80	63.00	60.00	24.20	24.70	7.84	7.84		"11:29"	"11:42"
1398	"NB-1169"	4/26/2016 0:00:00	"5"	"1"	"Flooding"	"+0.4"	"4: >10"	15.57	24955.00	15.24	101.90	9.25	2.50	0.60	15.27	26038.00	15.96	98.10	8.92	2.70	0.60	16.07	24338.00	14.83	101.10	9.10	2.90	0.70	15.56	27380.00	16.86	97.40	8.76	3.00	0.70	47.00	42.00	38.90	26.30	7.81	7.84		"11:52"	"12:05"
1399	"NB-730"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"															15.22	4959.00	2.68	79.40	7.84	23.20	5.50	15.23	4967.00	2.68	80.10	7.91	23.10	5.50	32.00	15.00	71.30	98.70		7.91	"Calibration cup was on at start H2O quality sample.  (Chris dismissed that data).  Barge kicked up sediment before  H2O quality"	"6:57"	"7:21"
1400	"NB-792"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	13.97	10482.00	5.96	93.70	9.32	10.60	2.50								13.94	9676.00	5.47	99.10	9.89	9.30	2.20	13.89	9959.00	5.64	91.90	9.17	11.30	2.70	31.00	33.00	36.40	62.20	7.91	7.94	"+1 Hemi"	"7:50"	"7:58"
1401	"NB-910"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	14.99	23224.00	14.09	109.90	10.17	6.00	1.40	15.60	28223.00	17.43	95.40	8.54	5.60	1.30	15.19	23443.00	14.24	93.90	8.64	3.60	0.90	14.81	26838.00	16.50	91.40	8.37	6.00	1.40	57.00	50.00	41.20	31.60	7.77	7.70		"8:25"	"11:30"
1402	"NB-850"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	14.87	16142.00	9.49	104.10	9.93	7.40	1.80	15.31	20307.00	12.18	94.20	8.76	6.70	1.60	14.89	15474.00	9.07	106.70	10.20	7.00	1.70	15.21	19214.00	11.47	91.30	8.55	7.20	1.70	51.00	41.00	29.80	33.10	7.82	7.96		"9:01"	"9:19"
1403	"NB-830"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	15.05	14107.00	8.21	101.50	9.72	7.70	1.80	15.23	16255.00	9.56	90.50	8.56	7.30	1.70	15.05	13523.00	7.84	99.10	9.52	9.40	2.20	15.19	14976.00	8.75	89.10	8.49	7.90	1.90	62.00	37.00	26.40	37.20	7.86	7.83		"9:27"	"9:42"
1404	"NB-800"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	14.74	10878.00	6.20	97.20	9.49	10.50	2.50	14.78	11851.00	6.80	87.20	8.47	10.00	2.40	14.53	10018.00	5.68	104.70	10.30	11.10	2.60	14.52	10006.00	5.67	86.80	8.54	14.70	3.50	47.00	32.00	45.20	40.60	7.83	7.97	"Way pt dropped at end of trawl"	"9:57"	"10:11"
1405	"NB-790"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	14.52	9481.00	5.35	105.40	10.39	13.20	3.10	14.38	9682.00	5.47	90.30	8.92	11.10	2.60	14.61	8843.00	4.97	107.30	10.59	9.40	2.20	14.52	9005.00	5.06	91.60	9.04	12.20	2.90	48.00	30.00	37.30	38.70	7.93	7.95		"10:18"	"10:32"
1406	"NB-780"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	14.91	7686.00	4.27	94.30	9.28	10.80	2.60	14.65	8509.00	4.76	89.70	8.85	12.10	2.90	15.04	7240.00	4.01	105.30	10.35	10.80	2.60	14.84	8178.00	4.57	90.30	8.89	12.80	3.00	34.00	29.00	53.80	54.50	7.94	7.93		"10:40"	"10:55"
1407	"NB-770"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"	15.04	7240.00	4.01	105.30	10.35	10.80	2.60	14.84	8178.00	4.57	90.30	8.89	12.80	3.00	15.28	6635.00	3.65	104.80	10.28	13.30	3.20	14.83	7850.00	4.37	87.20	8.60	12.70	3.00	29.00	25.00	54.50	55.80	7.94	7.97		"10:55"	"11:13"
1408	"NB-750"	4/28/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"	15.47	5565.00	3.03	86.60	8.49	12.70	3.00	15.44	5580.00	3.04	84.10	8.25	15.60	3.70	15.75	5193.00	2.81	89.90	8.77	16.30	3.90	15.43	5275.00	2.86	86.30	8.47	16.60	3.90	23.00	22.00	85.60	75.10	7.93	7.99		"11:23"	"11:38"
1409	"NB-271"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	14.15	16793.00	9.91	93.50	9.04	5.20	1.20	14.21	16923.00	9.99	90.90	8.77	4.60	1.10	14.16	15528.00	9.10	100.00	9.71	6.20	1.50	14.29	16025.00	9.42	99.90	9.65	1.90	0.40	39.00	36.00	29.20	28.90	8.07	7.82		"7:23"	"7:38"
1410	"NB-361"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	14.65	21290.00	12.82	94.60	8.89	2.50	0.60	14.70	21610.00	13.03	90.90	8.51	2.80	0.70	14.50	21284.00	12.81	96.00	9.04	2.40	0.60	14.74	23019.00	13.95	92.40	8.60	2.90	0.70	55.00	48.00	21.00	24.00	7.84	7.84		"8:02"	"8:19"
1411	"NB-341Pond"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	14.11	18720.00	11.14	97.50	9.36	3.20	0.80	14.15	18781.00	11.18	95.90	9.19	3.60	0.90	13.90	18055.00	10.71	98.60	9.53	4.00	1.00								37.00	30.00	80.50	72.00	7.81	7.82		"8:34"	"8:47"
1412	"NB-343"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	13.85	17646.00	10.45	101.30	9.82	0.80	0.20	14.08	17849.00	10.58	91.00	8.77	4.10	1.00	14.17	17679.00	10.47	101.40	9.76	5.50	1.30	14.28	17935.00	10.64	92.10	8.83	3.30	0.80	35.00	31.00	60.50	66.70	7.71	7.77		"8:56"	"9:11"
1413	"NB-283"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	14.38	16675.00	9.83	91.40	8.79	5.10	1.20	14.26	16763.00	9.89	89.00	8.58	5.40	1.30	14.32	16501.00	9.72	98.30	9.47	3.40	0.80	14.33	16513.00	9.73	89.00	8.58	5.50	1.30	40.00	29.00	46.10	53.40	7.70	7.72		"9:29"	"9:44"
1414	"NB-252"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	15.28	14512.00	8.46	101.70	9.68	6.20	1.50	15.27	14535.00	8.48	87.80	8.36	5.50	1.30	15.46	14300.00	8.33	89.40	8.49	5.60	1.30	15.42	14443.00	8.42	86.70	8.23	5.80	1.40	30.00	30.00	50.90	54.80	7.76	7.64		"10:08"	"10:23"
1415	"NB-230"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	16.49	9129.00	5.14	87.70	8.31	4.20	1.00	15.87	12424.00	7.15	79.90	7.57	5.20	1.20	16.36	8536.00	4.78	84.60	8.05	5.90	1.40	15.96	11626.00	6.66	78.50	7.45	5.00	1.20	41.00	40.00	39.50	41.00	7.71	7.66	"Line out 45 m"	"10:41"	"10:57"
1416	"NB-200"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"	16.81	5722.00	3.12	105.00	10.00	4.60	1.10	16.24	9592.00	5.42	79.70	7.58	5.00	1.20	17.16	4631.00	2.49	88.30	8.38	5.90	1.40	16.45	8054.00	4.49	78.40	7.46	4.90	1.20	42.00	50.00	30.20	30.00	7.79	7.74		"11:05"	"11:20"
1417	"NB-170"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"	17.36	2540.00	1.32	96.30	9.17	6.40	1.50	17.12	4000.00	2.13	86.70	8.25	5.60	1.30	17.48	2142.00	1.10	97.30	9.25	6.40	1.50	17.22	3301.00	1.74	86.50	8.23	6.70	1.60	47.00	44.00	20.20	18.30	7.79	7.85		"11:29"	"11:44"
1418	"NB-150"	4/29/2016 0:00:00	"5"	"1"	"Ebbing"		"0: <1"	17.13	1247.00	0.63	103.50	9.94	4.60	1.10	17.18	2755.00	1.44	88.40	8.44	6.10	1.40	16.79	601.00	0.29	111.60	10.82	2.70	0.60	16.74	1134.00	0.57	103.20	10.00	4.90	1.20	67.00	100.00	14.40	10.40	7.84	7.92		"11:52"	"12:07"
1419	"NB-620"	5/2/2016 0:00:00	"5"	"1"	"Flooding"		"4: >10"	19.47	20214.00	12.11	83.00	7.10	10.10	2.40	19.53	20616.00	12.37	82.10	7.01	12.10	2.90	19.86	22237.00	13.43	87.90	7.40	8.80	2.10	19.88	22628.00	13.69	84.80	7.13	15.00	3.60	20.00	30.00	210.00	99.80	7.71	7.77		"9:33"	"9:49"
1420	"NB-600"	5/2/2016 0:00:00	"5"	"1"	"High"		"3: 7-9.99"	18.88	14422.00	8.40	88.90	7.87	9.10	2.20	18.95	15215.00	8.90	83.70	7.37	11.00	2.60	18.38	12719.00	7.33	83.60	7.52	9.30	2.20	18.36	12932.00	7.47	80.90	7.27	10.00	2.40	35.00	31.00	120.00	75.30	7.67	7.68		"10:00"	"10:15"
1421	"NB-540"	5/2/2016 0:00:00	"5"	"1"	"High"		"2: 4-6.99"	18.13	11079.00	6.32	101.20	9.20	21.90	5.20	17.74	11984.00	6.88	91.10	8.32	14.30	3.40	18.58	8612.00	4.82	98.20	8.93	33.20	7.90	17.97	9505.00	5.36	89.10	8.18	22.20	5.30	34.00	20.00	86.70	82.90	7.73	7.85	"Spilt 20mm cod end on deck (~30%) it was eacch to collect up the contents; not much lost."	"10:33"	"10:48"
1422	"NB-530"	5/2/2016 0:00:00	"5"	"1"	"High"		"1: 1-3.99"	19.74	6354.00	3.48	99.80	8.94	63.80	15.20	18.63	7077.00	3.91	86.70	7.91	39.70	9.40	20.21	6462.00	3.54	80.40	7.13	63.10	15.00	18.66	6475.00	3.55	72.40	6.62	42.00	10.00	34.00	21.00	105.00	93.50	7.97	7.75	"NB 522 needs ~6 foot tide to sample"	"10:59"	"11:14"
1423	"NB-289"	5/2/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	18.34	11916.00	6.84	95.50	8.62	12.70	3.00	18.30	11908.00	6.83	84.90	7.67	10.40	2.50	18.31	11710.00	6.71	83.00	7.50	10.50	2.50	18.30	11707.00	6.71	80.60	7.29	10.70	2.60	23.00	13.00	257.00	322.00	7.62	7.56	"18 degrees C.  Not sure about polygon.  On branch to Hudeman- Chris confirms should be correct."	"11:42"	"11:57"
1424	"NB-670"	5/3/2016 0:00:00	"5"	"1"	"Flooding"		"4: >10"	16.93	29817.00	18.52	96.90	8.38	560.90	133.20	16.31	30695.00	19.12	90.10	7.87	560.90	133.20	16.37	30132.00	18.73	95.30	8.34	560.90	133.20	16.12	30243.00	18.81	89.60	7.87	560.90	133.20	34.00	39.00	78.00	63.90	7.85		"Mysid trawl 0.5mx250um.  Note: 13:38 min tow."	"11:14"	"11:38"
1425	"NB-570"	5/3/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	18.80	11751.00	6.73	87.70	7.85	560.80	133.10	18.33	12046.00	6.92	82.40	7.43	560.80	133.10	19.18	13007.00	7.51			560.80	133.10	18.48	13113.00	7.58	85.70	7.68	560.70	133.10	22.00	31.00	55.20	49.50	7.58	7.74		"12:47"	"13:07"
1426	"NB-670"	5/9/2016 0:00:00	"6"	"1"	"Ebbing"		"4: >10"	16.17	30385.00	18.91			18.30	4.30	16.21	30412.00	18.92	89.40	7.83	20.10	4.80	16.24	30296.00	18.84	96.20	8.43	18.80	4.50	16.24	30302.00	18.85	90.80	7.95	19.20	4.60	10.00	10.00	429.00	752.00	7.57	7.55		"6:59"	"7:15"
1427	"NB-600"	5/9/2016 0:00:00	"6"	"1"	"Ebbing"		"4: >10"	15.58	22256.00	13.45	83.90	7.69	10.80	2.60	15.59	22468.00	13.59	75.90	6.96	13.70	3.20	15.57	21297.00	12.82	85.40	7.87	11.40	2.70	15.57	21355.00	12.86	77.00	7.09	13.40	3.20	18.00	17.00	169.00		7.38	7.41	"Big Plastic Jug"	"7:42"	"7:56"
1428	"NB-560"	5/9/2016 0:00:00	"6"	"1"	"Ebbing"		"3: 7-9.99"	15.35	14055.00	8.17	82.90	7.89	22.50	5.30	15.37	14735.00	8.60	73.70	7.00	23.90	5.70	15.29	11971.00	6.88	90.50	8.70	25.40	6.00	15.29	12145.00	6.98	72.80	6.99	32.50	7.70	22.00	19.00	132.00	189.00	7.46	7.52		"8:10"	"8:24"
1429	"NB-550"	5/9/2016 0:00:00	"6"	"1"	"Ebbing"		"2: 4-6.99"	15.45	10733.00	6.11	79.70	7.66	43.40	10.30	15.44	10761.00	6.13	66.50	6.40	42.90	10.20	15.51	11001.00	6.28	76.80	7.37	45.60	10.80	15.47	11159.00	6.37	66.00	6.34	45.70	10.90	15.00	19.00	147.00	214.00	7.45	7.43	"Skipped CB to save jars for 20mm"	"8:43"	"8:56"
1430	"NB-540"	5/9/2016 0:00:00	"6"	"1"	"Ebbing"		"2: 4-6.99"	15.20	11150.00	6.37	62.10	5.99	51.00	12.10	15.24	11285.00	6.45	61.10	5.90	49.60	11.80	15.25	11315.00	6.47	83.70	8.07	43.70	10.40	15.24	11314.00	6.47	75.70	7.30	46.90	11.10	25.00	18.00	136.00	247.00	7.36	7.52	"No CB to save jars for 20mm"	"9:36"	"9:45"
1431	"NB-550"	5/9/2016 0:00:00	"6"	"2"	"Ebbing"		"2: 4-6.99"	15.46	10662.00	6.07			33.90	8.10	15.41	10897.00	6.21	74.10	7.13	36.50	8.70	15.54	10114.00	5.73	84.80	8.16	36.60	8.70	15.50	10339.00	5.87	75.50	7.27	39.80	9.50	32.00	20.00	123.00	114.00	7.48	7.51	"No CB to save jars.  Sub sampled in field due to ridiculously high mysid quantity.  Filled 3.25 jars total (with no water) but kept only remaining 0.25 after adult fish recorded on data sheet. CP NOTE:  Split recorded as lab split to adjust for adults measured in field."	"10:04"	"10:13"
1432	"NB-590"	5/9/2016 0:00:00	"6"	"1"	"Low"	"-1.5"	"3: 7-9.99"	15.49	15652.00	9.18	73.10	6.90	18.10	4.30	15.43	17444.00	10.32	69.20	6.49	15.30	3.60	15.50	14302.00	8.33	79.10	7.50	22.00	5.20	15.49	15739.00	9.24	68.70	6.48	23.30	5.50	31.00	25.00	109.00	108.00	7.39	7.37		"10:37"	"10:49"
1433	"NB-610"	5/9/2016 0:00:00	"6"	"1"	"Low"		"4: >10"	15.65	18527.00	11.02	87.70	8.15	14.30	3.40	15.54	18942.00	11.29	77.70	7.23	10.80	2.60	15.78	18093.00	10.74	81.00	7.52	12.80	3.00	15.55	18661.00	11.11	69.00	6.42	11.80	2.80	40.00	35.00	62.20	51.50	7.41	7.36		"11:02"	"11:13"
1434	"NB-630"	5/9/2016 0:00:00	"6"	"1"	"Low"		"4: >10"	15.79	17529.00	10.38	78.30	7.28	12.40	2.90	15.61	20357.00	12.21	72.80	6.73	8.30	2.00	15.91	14390.00	8.38	87.00	8.18	12.60	3.00	15.63	20087.00	12.03	73.90	6.84	9.60	2.30	31.00	18.00	79.20	180.00	7.37	7.50	"End of outfall of Sonoma Creek"	"11:25"	"11:31"
1435	"NB-1119"	5/10/2016 0:00:00	"6"	"1"	"Ebbing"		"4: >10"															14.53	36170.00	22.88			9.20	2.20	14.46	37070.00	23.51	96.30	8.50	8.00	1.90	35.00	23.00	87.40	302.00	7.73	7.68		"7:27"	"7:35"
1436	"NB-1116"	5/10/2016 0:00:00	"6"	"1"	"Ebbing"		"4: >10"	15.09	31859.00	19.91	102.70	9.15	3.70	0.90	15.08	31871.00	19.91	99.60	8.87	3.20	0.80	15.02	31466.00	19.64	102.80	9.19	3.40	0.80	15.02	31483.00	19.65	99.80	8.92	3.20	0.80	37.00	41.00	122.00	57.50	7.70	7.71	"CP: Flowmeter numbers assumed from end of previous tow.  Assuming still not accurate based on spin likely occurring between tows."	"7:49"	"8:03"
